temp,humidity,windspeed,count
0.24,0.75,0.0,13
0.42,0.88,0.2537,37
0.22,0.44,0.3582,5
0.16,0.47,0.2836,3
0.26,0.3,0.2836,77
0.24,0.48,0.1045,54
0.2,0.4,0.2985,195
0.22,0.37,0.3284,57
0.18,0.55,0.1343,42
0.18,0.51,0.0,122
0.2,0.59,0.194,23
0.16,0.93,0.1045,15
0.16,0.4,0.5224,49
0.12,0.5,0.2836,188
0.16,0.86,0.2239,76
0.16,0.93,0.0896,19
0.12,0.93,0.1343,16
0.22,0.41,0.4478,83
0.16,0.69,0.0,36
0.16,0.59,0.0,8
0.3,0.42,0.1045,26
0.22,0.51,0.2537,32
0.26,0.35,0.2985,118
0.2,0.47,0.1642,93
0.36,0.57,0.3284,197
0.26,0.56,0.3881,13
0.26,0.56,0.3284,152
0.08,0.38,0.2836,41
0.02,0.44,0.2836,8
0.1,0.46,0.1343,46
0.22,0.8,0.0,38
0.2,0.64,0.1343,8
0.22,0.69,0.1343,68
0.3,0.56,0.194,77
0.24,0.65,0.2239,7
0.22,0.87,0.1343,64
0.22,0.44,0.2537,40
0.2,0.44,0.5224,5
0.18,0.43,0.3284,52
0.22,1.0,0.0,55
0.24,0.65,0.0,30
0.18,0.86,0.0,95
0.28,0.93,0.1642,1
0.1,0.36,0.2239,7
0.1,0.42,0.0,199
0.14,0.86,0.194,16
0.1,0.49,0.3284,178
0.08,0.73,0.0,74
0.3,0.28,0.194,125
0.34,0.29,0.4179,174
0.24,0.44,0.0896,45
0.2,0.59,0.0896,24
0.2,0.75,0.0896,20
0.36,0.32,0.4627,152
0.44,0.33,0.2239,55
0.22,0.32,0.4627,4
0.2,0.32,0.3582,223
0.28,0.24,0.2537,71
0.28,0.26,0.1343,145
0.22,0.41,0.0896,15
0.2,0.51,0.194,1
0.4,0.4,0.2239,222
0.34,0.53,0.194,4
0.44,0.72,0.2836,32
0.44,0.72,0.2239,8
0.44,0.72,0.1642,113
0.4,0.15,0.3284,3
0.44,0.16,0.5821,123
0.36,0.27,0.1642,212
0.2,0.4,0.0,51
0.26,0.35,0.0896,67
0.32,0.49,0.7463,189
0.36,0.62,0.1343,125
0.44,0.47,0.0896,282
0.36,0.66,0.1045,30
0.42,1.0,0.2985,35
0.22,0.55,0.4179,124
0.24,0.52,0.2836,68
0.32,0.39,0.0,78
0.32,0.39,0.194,224
0.22,0.25,0.1343,72
0.18,0.64,0.194,2
0.44,1.0,0.2239,39
0.32,0.36,0.4179,77
0.3,0.33,0.2239,145
0.18,0.64,0.1343,128
0.36,0.0,0.194,3
0.28,0.7,0.2537,259
0.3,0.52,0.2537,53
0.46,0.38,0.3881,221
0.32,0.93,0.1343,154
0.36,0.71,0.194,5
0.42,0.47,0.4925,48
0.42,0.44,0.4627,76
0.4,0.58,0.2985,336
0.32,0.81,0.2537,182
0.4,0.76,0.2239,273
0.3,0.24,0.2239,83
0.22,0.41,0.3582,133
0.24,0.35,0.3582,287
0.34,0.25,0.2985,104
0.36,0.25,0.2537,86
0.32,0.57,0.0,4
0.3,0.49,0.1343,48
0.24,1.0,0.2537,192
0.28,0.93,0.194,58
0.24,0.7,0.1642,5
0.3,0.7,0.1045,55
0.26,0.7,0.1343,24
0.42,0.44,0.2239,45
0.4,0.56,0.3582,11
0.42,0.58,0.2836,46
0.6,0.4,0.3881,124
0.5,0.88,0.4925,2
0.34,0.71,0.3881,38
0.34,0.46,0.5224,89
0.44,0.67,0.2836,108
0.34,0.76,0.1642,1
0.34,0.87,0.2239,25
0.32,0.93,0.1642,54
0.36,0.81,0.0,142
0.38,0.82,0.1045,177
0.36,0.93,0.1343,87
0.5,0.77,0.2239,297
0.52,0.72,0.194,236
0.46,0.94,0.2836,4
0.64,0.69,0.4179,139
0.56,0.64,0.1343,6
0.38,0.94,0.2239,34
0.36,0.76,0.1343,3
0.4,0.76,0.0,3
0.46,0.67,0.3881,263
0.4,1.0,0.2985,29
0.5,0.94,0.3881,38
0.44,0.77,0.2836,33
0.38,0.46,0.3881,43
0.56,0.3,0.4478,306
0.5,0.42,0.194,83
0.4,0.82,0.0,54
0.46,0.63,0.2239,7
0.5,0.72,0.1343,122
0.4,0.5,0.4925,365
0.48,0.33,0.3284,177
0.34,0.61,0.2985,195
0.32,0.93,0.2239,55
0.36,1.0,0.2537,47
0.6,0.73,0.3881,397
0.5,0.94,0.0896,5
0.6,0.83,0.2836,105
0.66,0.61,0.2836,237
0.68,0.65,0.3881,172
0.7,0.61,0.4179,186
